province,party,months_before,cpi_category,vote_share_2019,vote_share_2021,delta_vote_share,cpi_change
Ontario,Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada,6,All-items,0.0002571016,0.0001839011,-0.0000732005,5.150000

Ontario,Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada,6,Food,0.0002571016,0.0001839011,-0.0000732005,6.016667

Ontario,Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada,12,All-items,0.0002571016,0.0001839011,-0.0000732005,4.383333

Ontario,Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada,12,Food,0.0002571016,0.0001839011,-0.0000732005,5.666667

Ontario,Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada,24,All-items,0.0002571016,0.0001839011,-0.0000732005,3.979167

Ontario,Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada,24,Food,0.0002571016,0.0001839011,-0.0000732005,7.020833

Manitoba,Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada,3,All-items,0.0000000000,0.0003716175,0.0003716175,5.800000

Manitoba,Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada,3,Food,0.0000000000,0.0003716175,0.0003716175,5.700000

Manitoba,Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada,6,All-items,0.0000000000,0.0003716175,0.0003716175,4.866667

Manitoba,Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada,6,Food,0.0000000000,0.0003716175,0.0003716175,5.050000

Manitoba,Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada,12,All-items,0.0000000000,0.0003716175,0.0003716175,4.091667

Manitoba,Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada,12,Food,0.0000000000,0.0003716175,0.0003716175,5.050000

Manitoba,Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada,24,All-items,0.0000000000,0.0003716175,0.0003716175,4.091667

Manitoba,Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada,24,Food,0.0000000000,0.0003716175,0.0003716175,6.075000

Saskatchewan,Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada,3,All-items,0.0000000000,0.0000000000,0.0000000000,4.733333

Saskatchewan,Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada,3,Food,0.0000000000,0.0000000000,0.0000000000,7.100000

Saskatchewan,Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada,6,All-items,0.0000000000,0.0000000000,0.0000000000,3.983333

Saskatchewan,Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada,6,Food,0.0000000000,0.0000000000,0.0000000000,6.816667

Saskatchewan,Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada,12,All-items,0.0000000000,0.0000000000,0.0000000000,3.716667

Saskatchewan,Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada,12,Food,0.0000000000,0.0000000000,0.0000000000,6.375000

Saskatchewan,Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada,24,All-items,0.0000000000,0.0000000000,0.0000000000,3.470833

Saskatchewan,Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada,24,Food,0.0000000000,0.0000000000,0.0000000000,7.245833

