province,year,months_before,cpi_category,cpi_yoy_avg,quarters_before,naics,vacancy_rate_avg,turnout,rejected_rate,valid_rate,electors,total_ballots_cast,valid_ballots,rejected_ballots
Alberta,2021,24,Food,154.108333,2,"Total, all industries",4.050000,0.64445762,0.00604683,0.99395317,3033419,1954910,1943089,11821

Alberta,2021,24,Food,154.108333,4,"Total, all industries",3.325000,0.64445762,0.00604683,0.99395317,3033419,1954910,1943089,11821

British Columbia,2019,3,All-items,132.133333,1,"Total, all industries",3.800000,0.65981427,0.00629538,0.99370462,3641258,2402554,2387429,15125

British Columbia,2019,3,All-items,132.133333,2,"Total, all industries",4.150000,0.65981427,0.00629538,0.99370462,3641258,2402554,2387429,15125

British Columbia,2019,3,All-items,132.133333,4,"Total, all industries",4.325000,0.65981427,0.00629538,0.99370462,3641258,2402554,2387429,15125

British Columbia,2019,3,Food,146.766667,1,"Total, all industries",3.800000,0.65981427,0.00629538,0.99370462,3641258,2402554,2387429,15125

British Columbia,2019,3,Food,146.766667,2,"Total, all industries",4.150000,0.65981427,0.00629538,0.99370462,3641258,2402554,2387429,15125

British Columbia,2019,3,Food,146.766667,4,"Total, all industries",4.325000,0.65981427,0.00629538,0.99370462,3641258,2402554,2387429,15125

British Columbia,2019,6,All-items,132.083333,1,"Total, all industries",3.800000,0.65981427,0.00629538,0.99370462,3641258,2402554,2387429,15125

British Columbia,2019,6,All-items,132.083333,2,"Total, all industries",4.150000,0.65981427,0.00629538,0.99370462,3641258,2402554,2387429,15125

British Columbia,2019,6,All-items,132.083333,4,"Total, all industries",4.325000,0.65981427,0.00629538,0.99370462,3641258,2402554,2387429,15125

British Columbia,2019,6,Food,146.033333,1,"Total, all industries",3.800000,0.65981427,0.00629538,0.99370462,3641258,2402554,2387429,15125

British Columbia,2019,6,Food,146.033333,2,"Total, all industries",4.150000,0.65981427,0.00629538,0.99370462,3641258,2402554,2387429,15125

British Columbia,2019,6,Food,146.033333,4,"Total, all industries",4.325000,0.65981427,0.00629538,0.99370462,3641258,2402554,2387429,15125

British Columbia,2019,12,All-items,130.933333,1,"Total, all industries",3.800000,0.65981427,0.00629538,0.99370462,3641258,2402554,2387429,15125

British Columbia,2019,12,All-items,130.933333,2,"Total, all industries",4.150000,0.65981427,0.00629538,0.99370462,3641258,2402554,2387429,15125

British Columbia,2019,12,All-items,130.933333,4,"Total, all industries",4.325000,0.65981427,0.00629538,0.99370462,3641258,2402554,2387429,15125

British Columbia,2019,12,Food,144.541667,1,"Total, all industries",3.800000,0.65981427,0.00629538,0.99370462,3641258,2402554,2387429,15125

British Columbia,2019,12,Food,144.541667,2,"Total, all industries",4.150000,0.65981427,0.00629538,0.99370462,3641258,2402554,2387429,15125

British Columbia,2019,12,Food,144.541667,4,"Total, all industries",4.325000,0.65981427,0.00629538,0.99370462,3641258,2402554,2387429,15125

British Columbia,2019,24,All-items,129.379167,1,"Total, all industries",3.800000,0.65981427,0.00629538,0.99370462,3641258,2402554,2387429,15125

British Columbia,2019,24,All-items,129.379167,2,"Total, all industries",4.150000,0.65981427,0.00629538,0.99370462,3641258,2402554,2387429,15125

British Columbia,2019,24,All-items,129.379167,4,"Total, all industries",4.325000,0.65981427,0.00629538,0.99370462,3641258,2402554,2387429,15125

British Columbia,2019,24,Food,142.029167,1,"Total, all industries",3.800000,0.65981427,0.00629538,0.99370462,3641258,2402554,2387429,15125

British Columbia,2019,24,Food,142.029167,2,"Total, all industries",4.150000,0.65981427,0.00629538,0.99370462,3641258,2402554,2387429,15125

British Columbia,2019,24,Food,142.029167,4,"Total, all industries",4.325000,0.65981427,0.00629538,0.99370462,3641258,2402554,2387429,15125

British Columbia,2021,3,All-items,136.966667,1,"Total, all industries",6.700000,0.61404027,0.00674398,0.99325602,3713048,2279961,2264585,15376

British Columbia,2021,3,All-items,136.966667,2,"Total, all industries",6.050000,0.61404027,0.00674398,0.99325602,3713048,2279961,2264585,15376

British Columbia,2021,3,All-items,136.966667,4,"Total, all industries",5.200000,0.61404027,0.00674398,0.99325602,3713048,2279961,2264585,15376

British Columbia,2021,3,Food,153.433333,1,"Total, all industries",6.700000,0.61404027,0.00674398,0.99325602,3713048,2279961,2264585,15376

British Columbia,2021,3,Food,153.433333,2,"Total, all industries",6.050000,0.61404027,0.00674398,0.99325602,3713048,2279961,2264585,15376

British Columbia,2021,3,Food,153.433333,4,"Total, all industries",5.200000,0.61404027,0.00674398,0.99325602,3713048,2279961,2264585,15376

British Columbia,2021,6,All-items,136.166667,1,"Total, all industries",6.700000,0.61404027,0.00674398,0.99325602,3713048,2279961,2264585,15376

British Columbia,2021,6,All-items,136.166667,2,"Total, all industries",6.050000,0.61404027,0.00674398,0.99325602,3713048,2279961,2264585,15376

British Columbia,2021,6,All-items,136.166667,4,"Total, all industries",5.200000,0.61404027,0.00674398,0.99325602,3713048,2279961,2264585,15376

British Columbia,2021,6,Food,152.683333,1,"Total, all industries",6.700000,0.61404027,0.00674398,0.99325602,3713048,2279961,2264585,15376

British Columbia,2021,6,Food,152.683333,2,"Total, all industries",6.050000,0.61404027,0.00674398,0.99325602,3713048,2279961,2264585,15376

British Columbia,2021,6,Food,152.683333,4,"Total, all industries",5.200000,0.61404027,0.00674398,0.99325602,3713048,2279961,2264585,15376

British Columbia,2021,12,All-items,134.883333,1,"Total, all industries",6.700000,0.61404027,0.00674398,0.99325602,3713048,2279961,2264585,15376

British Columbia,2021,12,All-items,134.883333,2,"Total, all industries",6.050000,0.61404027,0.00674398,0.99325602,3713048,2279961,2264585,15376

British Columbia,2021,12,All-items,134.883333,4,"Total, all industries",5.200000,0.61404027,0.00674398,0.99325602,3713048,2279961,2264585,15376

British Columbia,2021,12,Food,151.558333,1,"Total, all industries",6.700000,0.61404027,0.00674398,0.99325602,3713048,2279961,2264585,15376

British Columbia,2021,12,Food,151.558333,2,"Total, all industries",6.050000,0.61404027,0.00674398,0.99325602,3713048,2279961,2264585,15376

British Columbia,2021,12,Food,151.558333,4,"Total, all industries",5.200000,0.61404027,0.00674398,0.99325602,3713048,2279961,2264585,15376

British Columbia,2021,24,All-items,133.516667,1,"Total, all industries",6.700000,0.61404027,0.00674398,0.99325602,3713048,2279961,2264585,15376

British Columbia,2021,24,All-items,133.516667,2,"Total, all industries",6.050000,0.61404027,0.00674398,0.99325602,3713048,2279961,2264585,15376

British Columbia,2021,24,All-items,133.516667,4,"Total, all industries",5.200000,0.61404027,0.00674398,0.99325602,3713048,2279961,2264585,15376

British Columbia,2021,24,Food,150.208333,1,"Total, all industries",6.700000,0.61404027,0.00674398,0.99325602,3713048,2279961,2264585,15376

British Columbia,2021,24,Food,150.208333,2,"Total, all industries",6.050000,0.61404027,0.00674398,0.99325602,3713048,2279961,2264585,15376

British Columbia,2021,24,Food,150.208333,4,"Total, all industries",5.200000,0.61404027,0.00674398,0.99325602,3713048,2279961,2264585,15376

Manitoba,2019,3,All-items,137.400000,1,"Total, all industries",2.500000,0.64269146,0.00630707,0.99369293,927347,595998,592239,3759

Manitoba,2019,3,All-items,137.400000,2,"Total, all industries",2.550000,0.64269146,0.00630707,0.99369293,927347,595998,592239,3759

Manitoba,2019,3,All-items,137.400000,4,"Total, all industries",2.525000,0.64269146,0.00630707,0.99369293,927347,595998,592239,3759

Manitoba,2019,3,Food,148.333333,1,"Total, all industries",2.500000,0.64269146,0.00630707,0.99369293,927347,595998,592239,3759

Manitoba,2019,3,Food,148.333333,2,"Total, all industries",2.550000,0.64269146,0.00630707,0.99369293,927347,595998,592239,3759

Manitoba,2019,3,Food,148.333333,4,"Total, all industries",2.525000,0.64269146,0.00630707,0.99369293,927347,595998,592239,3759

Manitoba,2019,6,All-items,137.400000,1,"Total, all industries",2.500000,0.64269146,0.00630707,0.99369293,927347,595998,592239,3759

Manitoba,2019,6,All-items,137.400000,2,"Total, all industries",2.550000,0.64269146,0.00630707,0.99369293,927347,595998,592239,3759

Manitoba,2019,6,All-items,137.400000,4,"Total, all industries",2.525000,0.64269146,0.00630707,0.99369293,927347,595998,592239,3759

Manitoba,2019,6,Food,148.266667,1,"Total, all industries",2.500000,0.64269146,0.00630707,0.99369293,927347,595998,592239,3759

